file_name,song_key,duration_seconds,num_instruments,num_non_drum_instruments,num_drum_tracks,num_notes,notes_per_second,avg_pitch,min_pitch,max_pitch,avg_velocity,avg_note_duration_seconds,avg_tempo_bpm,num_tempo_changes,num_key_signature_changes,num_time_signature_changes
1910_Fruitgum_Company_-_Simon_Says.mid,1910_fruitgum_company_-_simon_says,158.4373415625,11,10,1,6678,42.14915457519008,60.3775082359988,28.0,90.0,119.95941898772088,0.23320713371331242,135.000135000135,1,1,1
2_Unlimited_-_Get_Ready_for_This.mid,2_unlimited_-_get_ready_for_this,438.24,13,10,3,17883,40.80640744797371,56.09981546720349,21.0,93.0,99.1620533467539,0.18588648437063132,125.0,1,1,1
2_Unlimited_-_Let_the_Beat_Control_Your_Body.mid,2_unlimited_-_let_the_beat_control_your_body,223.07120550000002,11,10,1,5731,25.69134813771381,55.575815738963534,25.0,82.0,77.97644390158786,0.1169468755998081,140.00014000014,1,0,0
2_Unlimited_-_Tribal_Dance.mid,2_unlimited_-_tribal_dance,220.18727981249998,11,10,1,9315,42.30489612266507,54.38862050456253,27.0,87.0,75.14804079441761,0.10066931177536229,130.00013000013,1,1,1
2_Unlimited_-_Twilight_Zone.mid,2_unlimited_-_twilight_zone,166.94074519999998,8,7,1,3133,18.76713798208204,65.46600702202362,31.0,87.0,111.41749122247047,0.2130010035854876,94.88964609285445,29,1,1
38_Special_-_Caught_Up_In_You.mid,38_special_-_caught_up_in_you,187.9375,5,4,1,4329,23.034253408713003,52.227766227766224,30.0,73.0,86.1975051975052,0.24162624162624077,120.0,1,1,1
38_Special_-_Fantasy_Girl.mid,38_special_-_fantasy_girl,179.31421099999997,6,5,1,3632,20.2549478914418,49.284140969163,30.0,83.0,90.81773127753304,0.37548875166460166,175.00007291669706,1,0,1
5ive_-_If_Ya_Gettin_Down.mid,5ive_-_if_ya_gettin_down,193.63652499999998,13,12,1,4175,21.561014896337355,53.37197604790419,28.0,108.0,107.15113772455089,0.22351325104041925,109.99990833340973,1,1,1
5ive_-_Slam_Dunk_Da_Funk.mid,5ive_-_slam_dunk_da_funk,219.32028599999998,11,10,1,4776,21.776371384086197,51.71461474036851,21.0,87.0,56.4428391959799,0.1468872808207707,103.0000480666891,1,1,1
5ive_-_Until_The_Time_Is_Through.mid,5ive_-_until_the_time_is_through,237.658885375,12,11,1,5276,22.199885317458435,56.03241091736164,28.0,84.0,94.3718726307809,0.6259687968394618,78.6666712777827,6,2,1
702_-_Where_My_Girls_At.mid,702_-_where_my_girls_at,187.78889398958333,4,3,1,2785,14.830483000525495,59.83590664272891,29.0,82.0,97.4854578096948,0.16988081388390186,93.00004185001883,1,0,1
911_-_The_Day_We_Find_Love.mid,911_-_the_day_we_find_love,251.50945504999996,11,10,1,3607,14.341409150136842,52.77987247019684,16.0,112.0,93.30856667590795,0.546448092858793,64.99999639333838,35,2,1
98_Degrees_-_I_Do_Cherish_You.mid,98_degrees_-_i_do_cherish_you,180.705792,2,1,1,1220,6.751305458986063,55.850819672131145,35.0,79.0,100.0,0.607521393442623,85.00004250002125,1,1,1
98_Degrees_-_The_Hardest_Thing.mid,98_degrees_-_the_hardest_thing,221.0,6,4,2,2214,10.018099547511312,61.194670280036135,36.0,77.0,79.06955736224029,0.42856067449562707,120.0,1,0,0
ABBA_-_Dancing_Queen.mid,abba_-_dancing_queen,236.64733489583332,10,9,1,8311,35.11977011555321,60.62098423775719,28.0,97.0,66.68439417639273,0.2571153028742027,100.39992637338733,1,1,1
ABBA_-_Fernando.mid,abba_-_fernando,254.92417462499998,10,9,1,8438,33.10003852091515,59.96729082721024,28.0,92.0,64.07691396065418,0.21784731691825698,103.99995656252995,16,1,9
ABBA_-_Gimme_Gimme_Gimme.mid,abba_-_gimme_gimme_gimme,290.12165400000004,12,11,1,8358,28.808604544905837,55.26573342905001,26.0,101.0,75.90859057190715,0.22115842101255184,118.19996641670086,5,1,6
ABBA_-_Knowing_Me_Knowing_You.mid,abba_-_knowing_me_knowing_you,234.63715164583337,11,10,1,7030,29.961154704994208,56.13826458036984,31.0,98.0,75.499573257468,0.2946546068723331,112.00005973336519,1,1,7
ABBA_-_Money_Money_Money.mid,abba_-_money_money_money,186.61175816666665,8,7,1,6017,32.2434130577458,61.77630048196776,24.0,92.0,68.53215888316437,0.18807062228546723,98.2352765196247,17,2,1
ABBA_-_SOS.mid,abba_-_sos,204.03125,13,12,1,5597,27.432072292847298,56.662319099517596,29.0,86.0,71.2294086117563,0.25795347954261355,120.0,1,0,1
ABBA_-_Super_Trouper.mid,abba_-_super_trouper,253.98333333333332,12,11,1,7129,28.06877091672682,57.22429513255716,28.0,93.0,72.34478889044748,0.2660529761069784,120.0,1,1,1
ABBA_-_Take_A_Chance_On_Me.mid,abba_-_take_a_chance_on_me,218.454327,15,14,1,8570,39.23016823557814,52.92882147024504,33.0,78.0,90.50431738623104,0.19516329799445753,110.00011000011,1,0,13
ABBA_-_Thank_You_for_the_Music.mid,abba_-_thank_you_for_the_music,231.78201675000005,10,9,1,6340,27.353286889544673,58.22429022082019,28.0,92.0,62.87429022082019,0.26585410855349645,88.11109144520039,45,1,1
ABBA_-_The_Winner_Takes_It_All.mid,abba_-_the_winner_takes_it_all,289.34966583333335,9,8,1,6154,21.26838468009405,53.63032174195645,30.0,95.0,70.74845628859279,0.4405201565800702,122.99996925000768,1,1,1
ABBA_-_Waterloo.mid,abba_-_waterloo,161.052626875,8,7,1,4482,27.82941257753391,52.926372155287815,26.0,83.0,86.45024542614904,0.24129388456604195,149.00020860029207,1,0,1
ABC_-_Poison_Arrow.mid,abc_-_poison_arrow,202.93630499999998,14,13,1,4937,24.327830350513185,52.96597123759368,21.0,100.0,116.77861049220174,0.43975074260684616,126.00012600012602,1,1,1
ABC_-_The_Look_of_Love.mid,abc_-_the_look_of_love,208.12819630000004,16,15,1,5603,26.92090788085112,56.969480635373905,28.0,98.0,77.74317330001784,0.20734179534773045,120.99994353335967,1,1,1
Aaliyah_-_Are_You_That_Somebody.mid,aaliyah_-_are_you_that_somebody,265.25950459999996,9,8,1,4629,17.45083557695825,49.43875567077122,26.0,85.0,92.94448044934111,0.17280976673147552,132.9999468000213,1,1,1
Aaliyah_-_Try_Again.mid,aaliyah_-_try_again,282.946944,11,9,2,4773,16.868886910473226,54.08296668761785,25.0,75.0,110.0,0.2509424268541799,95.00014250021376,1,1,1
Aaron_Neville_-_Tell_It_Like_It_Is.mid,aaron_neville_-_tell_it_like_it_is,179.0321775,8,7,1,4333,24.2023532334013,57.35148857604431,21.0,82.0,82.3824140318486,0.3398771080852372,93.00004185001885,1,1,1
Ace_of_Base_-_All_That_She_Wants.mid,ace_of_base_-_all_that_she_wants,205.26285,18,10,8,3725,18.147463118630576,51.13342281879195,30.0,97.0,102.51812080536912,0.1762286300402687,95.00014250021376,1,1,1
Ace_of_Base_-_Always_Have_Always_Will.mid,ace_of_base_-_always_have_always_will,224.3064646666666,11,10,1,7188,32.04544287513878,58.282415136338344,24.0,87.0,93.86380077907624,0.35187989541828973,137.0000639333632,1,1,1
Ace_of_Base_-_Beautiful_Life.mid,ace_of_base_-_beautiful_life,217.8775599,9,8,1,8144,37.37879203226748,57.33079567779961,24.0,80.0,106.94081532416503,0.18814559516208254,135.000135000135,1,1,1
Ace_of_Base_-_Don't_Turn_Around.mid,ace_of_base_-_don't_turn_around,225.1934078125,14,13,1,6999,31.079950643259906,53.69424203457637,26.0,101.0,70.82454636376625,0.1391689728376375,96.99995311668933,1,1,1
Ace_of_Base_-_The_Sign.mid,ace_of_base_-_the_sign,188.4467899375,8,7,1,6145,32.60867432147845,59.660537021969084,26.0,87.0,69.71716842961757,0.11723934997626802,98.00014373354414,1,1,1
Agnes_Obel_-_Familiar.mid,agnes_obel_-_familiar,227.75844899999998,7,7,0,1505,6.607877804787826,64.11893687707641,38.0,86.0,70.05581395348837,0.4551576593023256,68.75309601717208,3,1,5
Al_Stewart_-_On_the_Border.mid,al_stewart_-_on_the_border,219.74967037499997,12,11,1,5774,26.27535226854604,59.34984412885348,22.0,92.0,98.59490820921371,0.3624668692024591,190.0002850004275,1,1,1
Al_Stewart_-_Time_Passages.mid,al_stewart_-_time_passages,235.23000000000002,10,9,1,4735,20.12923521659652,58.00063357972545,29.0,90.0,104.89398099260823,0.4547138331573388,100.0,1,1,1
Al_Stewart_-_Year_of_the_Cat.mid,al_stewart_-_year_of_the_cat,388.69435987500003,10,9,1,9214,23.705000512390054,54.40297373561971,28.0,90.0,79.22075103103973,0.3585243095866344,113.00009605008164,1,1,1
Al_Wilson_-_Show_and_Tell.mid,al_wilson_-_show_and_tell,215.32704882812496,10,9,1,3623,16.825568453742637,52.7582114269942,29.0,94.0,111.72729781948661,0.4303075108968161,87.00065250489381,1,0,1
Alan_Parsons_-_Ammonia_Avenue.mid,alan_parsons_-_ammonia_avenue,97.97709796875,4,4,0,754,7.6956759858358925,56.61803713527851,33.0,80.0,84.37665782493369,0.6150076293103451,148.000148000148,1,1,1
Alan_Parsons_-_Damned_if_I_Do.mid,alan_parsons_-_damned_if_i_do,210.90414515625002,13,13,0,4636,21.981549943294773,57.56988783433995,31.0,94.0,99.41889559965487,0.5426972505931841,132.000132000132,1,1,1
